set_number,Latitude,Longitude,start_time,end_time
3714,20 28.727,113 58.023,19/09/2021 07:35,30/10/2021 21:15
3715,20 17.154,115 10.763,19/09/2021 08:20,12/05/2022 20:10
3716,20 02.781,114 53.699,30/09/2021 07:50,02/06/2022 05:50
3718,19 46.844,114 33.766,01/10/2021 01:10,01/06/2022 08:05
3720,19 23.000,114 06.722,01/10/2021 06:05,03/06/2022 05:25
3721,18 57.512,113 37.136,01/10/2021 10:00,03/06/2022 02:10
3723,19 08.573,115 13.980,02/10/2021 01:20,03/06/2022 23:20
3753,20 28.748,113 57.860,31/05/2022 08:30,28/01/2023 15:45
3754,20 28.748,113 57.860,01/06/2022 08:00,14/02/2023 20:45
3755,20 17.125,115 10.974,02/06/2022 02:20,31/01/2023 23:40
3756,20 02.766,114 53.541,02/06/2022 08:05,31/01/2023 23:25
3757,20 02.766,114 53.541,02/06/2022 09:00,16/02/2023 07:30
3758,19 46.754,114 33.457,01/06/2022 10:35,02/02/2023 17:15
3759,19 46.754,114 33.457,01/06/2022 10:30,15/02/2023 07:15
3760,19 22.819,114 06.408,03/06/2022 08:00,04/02/2023 16:00
3761,19 22.819,114 06.408,03/06/2022 09:00,18/02/2023 04:00
3762,18 57.530,113 37.148,02/06/2022 22:55,04/02/2023 11:50
3763,18 57.530,113 37.148,03/06/2022 04:00,18/02/2023 00:00
3764,19 08.491,115 13.726,03/06/2022 22:55,26/01/2023 18:05
3765,19 08.491,115 13.726,04/06/2022 04:15,17/02/2023 08:00
